mass__g_,reclat,reclong
3.12,-72.77472,75.34
4.91,-72.78333,75.26944
12.08,-72.778889,75.313611
197.71,-72.91611,75.10028
111.0,28.8316,12.63217
2860.0,35.68,-101.99333
12.8,-30.43333,129.76667
22.0,19.96825,56.41514
140000.0,-25.2,18.08333
1431.0,-24.68333,-69.76667
11.7,-72.67,160.24272
18255.0,37.8594,-117.02097
235.0,-30.85,127.53333
300.0,31.36817,-4.01683
159.0,31.36817,-4.01683
629.0,30.808,-5.85583
15.9,-30.46867,126.39133
397.1,-29.78,126.45667
264.4,20.91903,55.41193
80.45,20.00125,56.36586
399.0,-25.441833,-69.871
13.9,-25.444833,-69.881
9.9,-25.4435,-69.866667
168.0,-25.43933,-69.8635
185.36,20.4853,57.21425
1390.0,60.5,57.0
10175.0,18.50755,53.99325
16900.0,32.71667,-100.91667
15000.0,25.25306,0.14028
5150.0,30.98022,10.00652
8660.0,45.425,-101.097
3700.0,18.5,52.16667
47.1,-30.575,131.50164
2.1,-71.75833,35.03333
6700.0,29.75,-4.5
1800.0,29.71667,77.95
9251.0,50.95,31.81667
6500.0,9.53333,39.71667
9330.0,-21.46028,-49.95083
21000.0,45.41667,-98.31667
1900.0,50.13333,27.16667
560.0,13.76667,5.3
41000.0,52.996,-109.84817
945.0,41.25,1.66667
2936.0,-3.66667,32.5
6000.0,53.7,30.1
20350.0,-19.85,-47.55
400.0,-31.88333,-60.46667
3336.0,56.03333,13.0
56000.0,35.55,-77.53333
2360.0,36.05,-94.16667
380.0,36.88333,8.45
26000.0,-33.35,146.85833
5000.0,51.68333,30.78333
152000.0,57.35,37.61667
1000.0,51.93333,15.5
1110.6,35.2945,136.70033
13400.0,11.85,8.21667
950.0,-6.83333,29.5
16820.0,29.58333,77.58333
135000.0,38.98333,141.61667
5213.0,56.0,26.43333
2500.0,-22.25,-49.93333
10500.0,53.18333,13.15
8600.0,35.25,-80.5
9150.0,45.2,8.5
347.0,-21.73333,165.9
3996.0,52.45,78.63333
177.0,45.29167,11.52722
363.0,43.33333,141.86667
500000.0,57.78333,55.26667
20000.0,37.60833,-8.28
500.0,11.25,108.58333
7800.0,12.0,105.48333
6045.0,17.76667,95.18333
290.4,23.98333,87.08333
927.0,-20.81,-49.38056
4000.0,41.71667,-0.05
8500.0,41.05,23.56667
350.0,-19.46667,-44.21667
1000.0,38.7,-90.23333
4960.0,50.76667,3.0
5560.0,33.18836,-86.2945
19860.0,60.0,5.61667
150000.0,41.266667,-73.266667
4500.0,27.23944,29.83583
98.0,27.68333,4.33333
120.0,27.51667,3.91667
226.0,27.56667,4.16667
178.0,27.73333,4.2
92.0,27.67,4.49722
457.0,27.64972,4.01194
162.0,27.52722,3.89806
261.0,27.73333,4.43333
128.0,27.672,4.52633
138.0,27.42958,3.87135
126.0,27.68883,4.386
122.0,27.667,4.64833
14764.0,27.4114,3.70467
1072.0,27.61667,3.86667
578.0,27.5025,3.693
388.0,27.59617,4.172
22600.0,35.15,-102.71667
334.0,27.50778,4.60167
207.0,27.35028,4.2025
114.0,39.53833,59.55833
39.83,19.8423,57.00013
1066.2,19.60308,57.03332
1865.6,19.64073,57.28857
12834.0,19.40412,57.27497
61.6,19.22597,57.54063
356.2,22.73797,55.32125
11450.0,20.7,52.83333
139.9,-76.90692,157.0235
15.2,-76.96339,156.91969
19.7,-76.90256,157.02793
4.3,-76.90694,157.02548
2.6,-76.82229,158.24188
9000.0,-76.73156,158.67942
9100.0,10.26667,40.56667
856.9,-76.76988,158.80378
331.8,-76.89684,156.88501
137.5,-76.75705,158.76999
2.4,-76.75647,158.91425
9.9,-76.71074,158.74629
0.4,-76.67951,159.34254
89.3,-76.69166,159.31404
73.7,-76.69239,159.33052
70.4,-76.68388,159.26182
18.2,-76.72056,159.40262
11.3,-76.71667,159.33333
11.86,-76.69205,159.29708
10.44,-76.71667,159.33333
9.7,-76.71667,159.33333
7.22,-76.71667,159.33333
6.42,-76.71667,159.33333
2.12,-76.71086,159.15038
68.1,-76.70306,159.39278
37.6,-76.69833,159.34056
432.2,-76.69028,159.25444
39.1,-76.71,159.36917
138.2,-76.68861,159.25667
19.8,-76.68944,159.36917
912.5,-76.82851,158.22522
728.8,-76.7219,158.76158
106.0,-76.71852,158.76464
386.8,-76.71945,158.76506
90.2,-76.71025,158.78377
16.6,-76.71419,158.7785
81.2,-76.71059,158.78497
190.6,-76.72141,158.76213
8.5,-76.71006,158.78252
25.7,-76.71099,158.78637
43.0,-76.71074,158.78633
28.7,-76.71796,158.80719
1.4,-76.68417,159.35667
8.4,-76.68556,159.35778
66.2,-76.71754,158.73242
23.7,-76.68778,159.36056
3.3,-76.69778,159.3975
8.0,-76.69778,159.3975
15.6,-76.69306,159.39194
58.8,-76.71192,158.78327
79.9,-76.7675,159.32222
183.8,-76.71601,158.74679
92.7,-76.68122,159.26086
1.1,-76.68444,159.34
79.3,-76.68889,159.25278
32.9,-76.69917,159.39639
14.4,-76.70945,159.36889
1.2,-76.65816,159.32144
1.7,-76.69472,159.39028
8.8,-76.68861,159.38333
11.8,-76.69139,159.38583
17.3,-76.69139,159.39
16.0,-76.68306,159.34611
9.5,-76.6825,159.33
3.8,-76.68111,159.34611
11.5,-76.68038,159.27753
9.2,-76.70111,159.40333
4.7,-76.68861,159.36389
26.8,-76.71176,158.7867
27.1,-76.7172,158.73028
1.5,-76.68583,159.34305
0.6,-76.68417,159.35722
1407.0,33.1,-96.7
754.0,40.90183,-118.54465
41800.0,33.7825,-102.18111
14566.0,29.35944,14.25528
2900.0,29.35833,14.24833
335.0,29.3945,14.29233
565.61,-72.83333,24.5
5622.0,37.25,-98.13333
1000.0,36.33333,-105.05
56.8,34.24667,-103.395
91.9,33.71333,-113.275
17.0,31.89689,10.19572
1500.0,34.20583,-103.22222
30500.0,33.59167,-103.02667
6800.0,41.43333,-99.7
1240.0,41.23333,-103.9
20.0,-24.25,-70.51667
26.9,-30.107,126.84217
3016.0,33.88098,-111.78558
5896.8,35.84778,-97.70333
228.0,-25.23333,-69.71667
11.9,-25.23333,-69.71667
428.0,-25.23333,-69.71667
191.0,-25.23333,-69.71667
647.0,-25.23333,-69.71667
3191.0,-25.23333,-69.71667
312.0,-25.23333,-69.71667
1107.0,-25.23333,-69.71667
1492.0,31.7045,-110.77917
26000.0,29.82806,-96.90861
3740.0,-14.53321,-75.77511
8030.0,36.0,-104.5
20.0,12.5,-137.7
24000.0,36.43333,-98.43333
149.0,-30.70167,130.45611
100000.0,-30.61667,130.41667
84.2,-30.50683,130.404
6.6,-30.91378,130.90386
6800.0,-29.85,140.7
54.5,34.30333,-112.16617
1400.0,34.95,-107.16667
344.0,35.09373,-116.76343
67.61,35.05878,-116.773
68.02,35.04625,-116.73547
14.2,35.05947,-116.7685
6.1,35.06785,-116.7494
17.4,35.07028,-116.74847
10.4,35.05283,-116.76538
32.22,35.06725,-116.74853
17.02,35.06847,-116.76905
54.31,35.05717,-116.7205
71.8,35.08758,-116.74603
7.5,35.05902,-116.76892
16.2,35.05122,-116.76742
1.6,35.31218,-117.45303
8.5,35.28638,-117.48305
22.2,35.296,-117.472
5900.0,40.23333,-100.83333
10000.0,37.61667,-98.91667
567.0,35.96667,-96.76667
1741.0,27.13933,16.27267
1025.0,27.19967,16.03567
477.0,27.19017,16.30833
38.9,27.46767,16.17017
36.0,27.23233,16.196
347.0,27.13817,16.27233
158.0,27.12483,16.12083
72.0,27.152,16.197
39.0,27.19483,16.06917
151.0,27.1885,16.31483
384.0,27.29133,16.21333
